Date,High,Low,Close,Volume,VolumeT
2013-01-02,12.8,12,12.7,15,15571
2013-01-03,12.9,12.6,12.6,8,5105
2013-01-04,12.5,12.1,12.5,3,3
2013-01-07,12.7,12,12,8,898
2013-01-08,12.5,12,12.5,11,16220
2013-01-09,12.6,12.6,12.6,2,2
2013-01-10,12.8,12.5,12.5,23,26619
2013-01-11,12.6,12.5,12.5,9,17776
2013-01-15,13.3,12.6,12.9,24,12430
2013-01-16,13.2,13,13.1,15,6533
2013-01-17,13.1,13,13.1,13,19448
2013-01-18,13.1,12.6,13,18,6932
2013-01-21,13,12.6,12.6,7,2310
2013-01-22,12.9,12.5,12.8,11,5109
2013-01-23,12.9,12.6,12.6,9,27
2013-01-24,12.9,12.6,12.6,5,920
2013-01-28,12.6,12.6,12.6,8,10526
2013-01-29,13.2,12.6,12.6,4,2521
2013-01-30,13.1,12.5,12.6,6,14396
2013-01-31,13.1,12.8,12.9,13,5101
2013-02-01,13.1,12.5,12.6,9,4773
2013-02-05,13.6,12.8,12.9,34,13303
2013-02-06,13.7,13.6,13.7,3,300
2013-02-07,13.8,12.7,13.2,12,5447
2013-02-08,12.7,12.7,12.7,1,100
2013-02-11,13,12.8,12.8,5,4500
2013-02-12,13.4,12.7,13.3,17,25556
2013-02-13,13.6,13.4,13.4,22,8750
2013-02-14,13.3,13.2,13.3,7,12400
2013-02-15,13.4,13,13,17,5270
2013-02-18,12.9,12.8,12.8,4,566
2013-02-19,13.2,12.8,13.2,7,16502
2013-02-20,13,12.8,13,9,26062
2013-02-21,13.2,12.8,13,6,22107
2013-02-22,13.2,12.5,12.6,14,11879
2013-02-26,13,12.3,13,4,5904
2013-02-27,12.3,12.3,12.3,1,167
2013-02-28,12.8,12.8,12.8,1,2
2013-03-01,12.8,12.5,12.8,3,618
2013-03-04,12.5,12.3,12.3,6,3700
2013-03-05,12.3,12.3,12.3,4,1400
2013-03-06,12.5,11.5,11.6,4,15388
2013-03-07,12.5,11.3,12,19,12941
2013-03-08,12,11.4,11.5,16,7149
2013-03-11,12.2,12.1,12.1,3,800
2013-03-12,12.4,12,12,5,2600
2013-03-13,12.3,11.8,12,3,10200
2013-03-14,12,11.5,11.7,7,2200
