,Date,High,Low,Close,Volume,VolumeT,Gaus
0,2013-01-02,12.0,11.7,12.0,16,11680,12.049594847240687
1,2013-01-03,12.2,12.0,12.0,12,4841,12.050653662540558
2,2013-01-04,12.2,12.0,12.2,9,12240,12.05299679904652
3,2013-01-07,12.2,12.0,12.1,16,12830,12.057036360461778
4,2013-01-08,12.1,12.0,12.0,7,23690,12.063284128581008
5,2013-01-09,12.2,12.0,12.0,10,15660,12.07220371516939
6,2013-01-10,12.1,12.0,12.1,5,3200,12.084095632491792
7,2013-01-11,12.0,11.8,11.8,9,5860,12.099035915553234
8,2013-01-15,12.1,11.8,11.9,6,2400,12.116792213020267
9,2013-01-16,12.1,11.6,12.0,16,8452,12.136884624991714
10,2013-01-17,12.8,12.1,12.6,69,154795,12.15867608344804
11,2013-01-18,12.9,12.2,12.3,11,10601,12.18142365143929
12,2013-01-21,12.7,12.1,12.1,10,2590,12.204463748823015
13,2013-01-22,12.2,12.1,12.2,13,6863,12.227229182572767
14,2013-01-23,12.5,12.1,12.3,11,9832,12.249302768156056
15,2013-01-24,12.3,12.1,12.3,4,6606,12.270299638982387
16,2013-01-28,12.4,12.1,12.3,16,9745,12.289791407113132
17,2013-01-29,12.5,12.1,12.2,9,6916,12.307174052968536
18,2013-01-30,12.4,12.1,12.2,82,1326700,12.32161879242963
19,2013-01-31,12.9,12.4,12.5,152,249977,12.332041528746926
20,2013-02-01,12.6,12.3,12.4,68,45029,12.3371828035159
21,2013-02-05,12.5,12.3,12.4,44,44039,12.335792361106925
22,2013-02-06,12.6,12.3,12.4,89,159380,12.326811849759414
23,2013-02-07,12.8,12.5,12.7,28,24970,12.309613716325067
24,2013-02-08,13.1,12.6,12.7,54,111136,12.284126516489856
25,2013-02-11,12.5,12.2,12.2,24,41994,12.25090707284789
26,2013-02-12,12.4,12.1,12.3,35,60071,12.211100905041878
27,2013-02-13,12.4,12.0,12.1,45,62230,12.16632272213337
28,2013-02-14,12.4,12.0,12.0,44,106691,12.118423436424319
29,2013-02-15,12.1,11.9,12.1,23,22900,12.06930349529225
30,2013-02-18,12.2,11.9,11.9,16,3765,12.0206822251847
31,2013-02-19,12.1,11.8,12.0,36,31105,11.973970437472175
32,2013-02-20,12.1,11.8,11.8,9,11139,11.930106539545747
33,2013-02-21,12.0,11.9,11.9,13,4686,11.889515883646753
34,2013-02-22,11.9,11.5,11.8,30,20280,11.852126745432319
35,2013-02-26,11.9,11.7,11.8,19,50270,11.817407309005889
36,2013-02-27,11.9,11.5,11.5,22,22830,11.784460992890889
37,2013-02-28,11.9,11.5,11.6,6,517,11.752173275687221
38,2013-03-01,12.3,11.5,12.0,19,60561,11.719393145429823
39,2013-03-04,11.9,11.5,11.9,13,11197,11.68512254435082
40,2013-03-05,11.9,11.5,11.9,8,4360,11.648708487722393
41,2013-03-06,11.7,11.5,11.6,18,33981,11.609933409113657
42,2013-03-07,11.5,11.4,11.5,45,79989,11.569115020585363
43,2013-03-08,11.8,11.5,11.5,15,18000,11.527035359579056
44,2013-03-11,11.5,11.4,11.5,9,12032,11.484839762774968
45,2013-03-12,11.5,11.4,11.4,46,147019,11.443898317171401
46,2013-03-13,11.5,11.3,11.4,26,13458,11.405592437840662
47,2013-03-14,11.4,11.2,11.3,23,17854,11.371182076235497
48,2013-03-15,11.3,11.2,11.2,20,22649,11.34165792927975
49,2013-03-18,11.3,11.1,11.1,13,9200,11.317705343141897
50,2013-03-19,11.2,11.1,11.1,29,59290,11.299721566103612
