Date,High,Low,Close,VolumeT,Volume
2016-06-07,10.8,10.8,10.8,2,220
2016-06-09,10.3,10,10,14,31662
2016-06-10,10,9.8,10,5,9000
2016-06-13,9.9,9.9,9.9,1,100
2016-06-14,9.8,9.8,9.8,5,3310
2016-06-17,9.8,9.7,9.7,3,2356
2016-06-22,10,9.7,9.7,9,4620
2016-06-23,10.5,9.7,10.5,3,4200
2016-06-24,10.7,10.6,10.7,3,1000
2016-06-27,10,9.6,9.7,7,6380
2016-06-29,9.5,9.5,9.5,1,200
2016-06-30,9.8,9.8,9.8,2,501
2016-07-01,10.3,9.7,9.7,4,203
2016-07-04,10.1,9.8,9.9,4,502
2016-07-07,10.3,9.6,9.7,2,225
2016-07-11,10.8,10.1,10.4,5,1000
2016-07-12,11,10.9,10.9,3,511
2016-07-14,9.9,9.9,10.9,1,5
2016-07-15,10.5,10.5,10.9,1,2
2016-07-18,10.5,10.2,10.2,3,1048
2016-07-20,10.4,10.1,10.4,5,1153
2016-07-21,10.3,10,10,8,5064
2016-07-22,10.7,10.6,10.6,2,350
2016-07-25,10.5,10.5,10.6,1,50
2016-07-26,10,10,10,1,100
2016-07-28,9.9,9.8,9.8,8,3150
2016-07-29,10,10,10,1,1000
2016-08-01,9.9,9.9,10,1,1
2016-08-02,10,10,10,2,101
2016-08-05,10.1,10,10.1,4,1100
2016-08-08,10.1,10,10,4,2200
2016-08-09,10,10,10,2,600
2016-08-10,10,9.7,9.7,13,6766
2016-08-11,10.3,10,10.1,2,150
2016-08-12,11,11,11,6,5535
2016-08-16,10,10,10,4,5050
2016-08-18,10,9.9,9.9,5,2204
2016-08-23,10,10,10,2,105
2016-08-24,10,9.8,9.9,8,4267
2016-08-25,9.8,9.7,9.7,6,9622
2016-08-26,9.8,9.5,9.7,13,40651
2016-08-29,9.8,9.5,9.8,3,2078
2016-08-31,9.8,9.6,9.7,15,34700
2016-09-01,9.8,9.8,9.8,4,10200
2016-09-05,9.8,9.7,9.8,2,15
2016-09-06,9.8,9.5,9.5,9,6580
2016-09-07,9.8,9.5,9.5,2,600
2016-09-08,9.8,9.8,9.5,4,34
2016-09-09,9.8,9.6,9.6,5,451
2016-09-13,9.7,9.7,9.7,1,135
2016-09-14,9.8,9.5,9.5,18,1615
2016-09-15,9.6,9.5,9.6,2,250
2016-09-19,9.8,9.7,9.8,4,15400
2016-09-20,9.8,9.8,9.8,2,35420
2016-09-21,10.2,10.2,9.8,1,1
2016-09-22,9.8,9.7,9.7,5,3700
2016-09-23,9.6,9.5,9.5,3,200
2016-09-26,10,9.7,9.8,6,184
2016-09-27,9.9,9.9,9.8,5,18
2016-09-28,9.9,9.6,9.7,3,250
2016-09-29,9.9,9.7,9.7,3,106
2016-09-30,9.7,9.6,9.7,6,997
2016-10-04,9.8,9.7,9.7,2,80
2016-10-05,9.8,9.7,9.7,9,2260
2016-10-06,9.7,9.5,9.5,2,1000
2016-10-07,9.9,9.9,9.9,1,450
2016-10-11,9.8,9.8,9.9,2,22
2016-10-13,9.9,9.9,9.9,1,5
2016-10-18,9.9,9.9,9.9,1,1
2016-10-19,9.7,9.7,9.7,2,150
2016-10-24,9.5,9.5,9.5,1,2000
2016-10-25,9.6,9.5,9.5,3,1407
2016-10-26,9.6,9.6,9.6,2,1356
2016-10-27,9.8,9.8,9.6,1,10
2016-10-31,9.6,9.5,9.5,10,35020
2016-11-02,9.6,9.6,9.6,2,180
2016-11-03,9.6,9.6,9.6,1,1000
2016-11-04,9.6,9.6,9.6,2,20
2016-11-07,10.2,9.8,9.8,3,351
2016-11-09,9.9,9.6,9.6,6,12410
2016-11-10,9.9,9.6,9.6,6,2510
2016-11-11,9.9,9.6,9.6,5,4471
2016-11-16,9.6,9.5,9.6,4,1635
2016-11-17,9.5,9.5,9.5,2,4301
2016-11-18,9.6,9.4,9.5,7,1820
2016-11-23,9.5,9.4,9.4,2,100
2016-11-24,9.4,9.4,9.4,1,13
2016-11-25,9.7,9.4,9.4,7,2100
2016-11-29,9.4,9.4,9.4,2,875
2016-12-05,9.4,9.4,9.4,6,6745
2016-12-07,9.4,9,9.1,4,5002
2016-12-09,9.2,9.2,9.1,1,1
2016-12-15,9.1,9,9,4,9000
2016-12-20,9.1,9,9,4,1650
