,Date,High,Low,Close,Volume,VolumeT,Gaus
0,2015-01-02,18.9,18.1,18.2,15,7440,18.72483693816266
1,2015-01-06,18.6,18.3,18.5,26,26186,18.72736867862882
2,2015-01-07,18.9,18.5,18.9,37,11548,18.732116893897516
3,2015-01-08,19.4,19.0,19.0,27,26220,18.73869903482629
4,2015-01-09,19.5,19.0,19.2,40,57803,18.747008258284986
5,2015-01-12,19.5,18.8,18.9,37,272565,18.757614180836065
6,2015-01-13,18.9,18.8,18.8,26,35076,18.77195454721886
7,2015-01-16,19.2,18.5,19.0,11,11613,18.792292539513845
8,2015-01-19,18.5,18.3,18.3,6,2792,18.821461432732058
9,2015-01-20,18.4,18.2,18.4,7,2128,18.86229892276722
10,2015-01-21,18.9,18.4,18.5,20,43988,18.916896562933765
11,2015-01-22,19.1,18.5,18.9,24,1053211,18.98606929273778
12,2015-01-23,19.1,18.5,18.5,13,3913,19.06893152652308
13,2015-01-26,19.0,18.5,18.5,8,5957,19.162863807228163
14,2015-01-27,19.0,18.7,19.0,12,23084,19.263722553333782
15,2015-01-28,20.3,18.9,20.0,100,1217012,19.36641560743007
16,2015-01-29,20.2,19.9,20.0,70,136954,19.46563838841012
17,2015-01-30,20.1,19.9,20.1,42,54427,19.556597690988774
18,2015-02-02,20.1,19.9,20.0,97,252933,19.635676611019036
19,2015-02-05,20.0,19.7,19.7,7,4784,19.70082340672836
20,2015-02-06,20.1,19.6,20.0,37,1011638,19.75169450650551
21,2015-02-09,20.0,19.6,19.8,10,608,19.789551802115092
22,2015-02-10,20.1,19.9,20.0,23,122112,19.81687280515781
23,2015-02-11,20.1,19.9,20.1,16,14362,19.836856388267492
24,2015-02-12,19.9,19.7,19.9,11,12624,19.852811595112758
25,2015-02-13,20.1,19.8,20.0,14,55461,19.86768895908689
26,2015-02-16,20.0,19.1,19.1,4,1011,19.883549706296947
27,2015-02-18,20.1,19.1,19.1,19,15469,19.901396370567745
28,2015-02-19,20.1,19.1,20.0,27,108246,19.921164720702677
29,2015-02-20,20.5,20.0,20.3,78,162458,19.941821944873553
30,2015-02-23,20.4,20.0,20.4,29,109601,19.961791763828643
31,2015-02-24,20.3,19.5,20.3,22,33368,19.979333744198954
32,2015-02-25,20.0,19.8,20.0,10,184587,19.99293089990765
33,2015-02-26,20.2,20.0,20.0,5,23985,20.001505237797147
34,2015-02-27,20.2,19.8,20.0,8,2370,20.00458978596387
35,2015-03-02,20.2,19.8,20.0,7,23714,20.00224731818193
36,2015-03-03,20.1,19.8,20.0,28,54445,19.995103712164628
37,2015-03-04,20.1,19.9,20.1,38,125747,19.98401275793462
38,2015-03-06,20.1,19.8,20.1,15,26341,19.970034489771344
39,2015-03-09,20.0,19.8,19.8,18,34335,19.954269290172046
40,2015-03-10,20.0,19.7,20.0,10,10300,19.937858761334542
41,2015-03-11,20.0,20.0,20.0,18,164437,19.92183374443575
42,2015-03-12,20.0,19.5,20.0,19,372413,19.9070557296065
43,2015-03-13,19.5,19.5,19.5,5,10780,19.89415345162574
44,2015-03-16,20.0,19.3,20.0,13,29267,19.883437001163077
45,2015-03-17,20.0,19.5,19.7,5,355,19.87484860856101
46,2015-03-18,19.6,19.6,19.6,3,1082,19.86802036437396
47,2015-03-19,20.0,20.0,20.0,16,7586,19.86232973736343
48,2015-03-20,20.0,20.0,20.0,16,16345,19.857089537093827
49,2015-03-23,20.1,19.9,19.9,8,16800,19.85176739005866
50,2015-03-24,20.0,19.9,20.0,17,27585,19.846104769843286
51,2015-03-25,20.0,19.9,20.0,9,18351,19.840222341741285
52,2015-03-26,20.0,19.7,19.8,11,12408,19.83463621397899
53,2015-03-27,20.0,20.0,20.0,13,11710,19.830156886721785
54,2015-03-30,19.5,18.7,19.0,12,1125,19.82770925796427
55,2015-03-31,20.0,18.7,20.0,8,2686,19.828145798314345
56,2015-04-01,20.1,19.9,20.0,13,12902,19.83206694551025
57,2015-04-02,20.0,20.0,20.0,5,5391,19.83968463916006
58,2015-04-06,19.1,19.0,19.1,6,2080,19.850799564566113
59,2015-04-07,20.0,20.0,20.0,5,4250,19.86486707539243
60,2015-04-08,20.0,20.0,20.0,8,24000,19.881055982251734
61,2015-04-09,20.0,19.7,20.0,5,2182,19.898483980747294
62,2015-04-10,20.0,20.0,20.0,4,22799,19.91629734678597
63,2015-04-17,20.0,20.0,20.0,1,20,19.933782521942568
64,2015-04-21,20.0,19.6,20.0,15,71397,19.95040551418742
65,2015-04-24,20.1,19.7,19.8,8,2816,19.965819166268094
66,2015-04-27,20.0,19.8,20.0,2,531,19.97980516839251
67,2015-04-28,20.1,19.7,20.0,8,4700,19.992186460630048
68,2015-04-29,20.0,19.8,20.0,6,22300,20.00284787288185
69,2015-04-30,20.1,19.9,20.1,8,6801,20.011675550186563
70,2015-05-05,20.2,20.0,20.0,9,2451,20.018593736704936
71,2015-05-06,20.4,20.0,20.0,15,53781,20.023638831745696
72,2015-05-07,20.3,20.2,20.3,4,1450,20.026985665276232
73,2015-05-08,20.2,20.0,20.1,18,5050,20.028961190451223
74,2015-05-11,19.9,19.9,19.9,4,2880,20.03005858349135
75,2015-05-12,20.1,19.9,20.0,14,9079,20.03077654651831
76,2015-05-13,20.1,20.0,20.0,11,6021,20.03166716406868
77,2015-05-14,19.9,19.9,19.9,5,1191,20.03309277603283
78,2015-05-15,20.2,19.9,20.2,5,375,20.035259631124774
79,2015-05-18,19.9,19.7,19.8,7,2200,20.03805654493644
80,2015-05-19,20.1,20.0,20.0,8,81376,20.041278640777644
81,2015-05-20,20.3,19.5,20.2,21,24451,20.044531318549772
82,2015-05-21,20.3,19.5,20.0,10,8350,20.04746511560747
83,2015-05-22,20.3,20.3,20.3,1,10,20.049926661651476
84,2015-05-25,20.4,19.7,19.9,11,10107,20.052029389488244
85,2015-05-26,20.4,19.7,20.2,18,27455,20.05436878419021
86,2015-05-27,20.0,19.9,20.0,13,43403,20.058038306540396
87,2015-05-28,20.1,20.0,20.1,2,60,20.064641759393172
88,2015-05-29,20.5,19.6,20.1,29,181199,20.076270450946605
89,2015-06-01,20.0,19.7,19.9,6,5090,20.095376844037414
90,2015-06-03,20.1,19.9,19.9,11,5266,20.124646752033815
91,2015-06-04,20.5,19.7,19.9,11,33639,20.16676045597133
92,2015-06-05,20.3,19.9,20.0,6,5676,20.224229263335925
93,2015-06-08,20.3,19.9,20.1,10,1875,20.299011395572798
94,2015-06-09,20.3,20.0,20.2,4,3037,20.392113350843374
95,2015-06-10,20.6,20.1,20.5,21,29205,20.50319584350441
96,2015-06-11,20.5,20.0,20.0,16,12081,20.63014108717427
97,2015-06-12,20.5,20.0,20.3,12,20327,20.768892041722342
98,2015-06-15,20.3,20.1,20.1,4,1103,20.913325192839604
99,2015-06-16,21.2,20.2,21.2,45,94720,21.055749900761693
100,2015-06-17,21.4,21.2,21.4,5,215,21.187438325707248
101,2015-06-18,22.0,21.4,21.9,34,39922,21.299652399803445
102,2015-06-19,23.0,22.0,23.0,36,485555,21.384733568350807
103,2015-06-22,22.8,22.2,22.3,13,27591,21.4370823564796
104,2015-06-23,22.0,21.5,22.0,13,2671,21.454042661487673
105,2015-06-24,22.2,21.5,22.0,8,1250,21.436128003176975
106,2015-06-25,22.0,21.5,21.5,7,1760,21.387165062357408
107,2015-06-26,21.8,21.5,21.6,8,1240,21.31351582480215
108,2015-06-29,22.2,21.6,21.6,9,3729,21.223443932514378
